source_type	source_key	disposition	target	reason
resort	HIGH1	MAPPED	resorts.code=HIGH1	-
resort	PHOENIX_PARK	MAPPED	resorts.code=PHOENIX_PARK	-
resort	KONJIAM_RESORT	MAPPED	resorts.code=KONJIAM_RESORT	-
resort	JISAN_FOREST_RESORT	MAPPED	resorts.code=JISAN_FOREST_RESORT	-
resort	ALPENSIA	MAPPED	resorts.code=ALPENSIA	-
resort	VIVALDI_PARK	MAPPED	resorts.code=VIVALDI_PARK	-
resort	OAK_VALLEY	MAPPED	resorts.code=OAK_VALLEY	-
resort	ELYSIAN_GANGCHON	MAPPED	resorts.code=ELYSIAN_GANGCHON	-
resort	WELLI_HILLI_PARK	MAPPED	resorts.code=WELLI_HILLI_PARK	-
member	member_consumer_001	MAPPED	dev_personas.persona_key=pm-consumer-001	익명화
member	member_consumer_002	MAPPED	dev_personas.persona_key=pm-consumer-002	익명화
member	member_consumer_003	MAPPED	dev_personas.persona_key=pm-consumer-003	익명화
member	member_consumer_004	MAPPED	dev_personas.persona_key=pm-consumer-004	익명화
member	member_consumer_005	MAPPED	dev_personas.persona_key=pm-consumer-005	익명화
member	member_consumer_006	MAPPED	dev_personas.persona_key=consumer-default	기존 golden persona 재사용
member	member_consumer_007	MAPPED	dev_personas.persona_key=pm-consumer-007	익명화
member	member_consumer_008	MAPPED	dev_personas.persona_key=pm-consumer-008	익명화
member	member_consumer_009	MAPPED	dev_personas.persona_key=pm-consumer-009	익명화
member	member_instructor_001	MAPPED_REVIEW_REQUIRED	dev_personas.persona_key=pm-instructor-approved-001	구조화 승인값과 PM 서사 모순
member	member_instructor_002	MAPPED	dev_personas.persona_key=pm-instructor-approved-002	익명화
member	member_instructor_003	MAPPED	dev_personas.persona_key=pm-instructor-approved-003	익명화
member	member_instructor_004	MAPPED	dev_personas.persona_key=instructor-approved-default	기존 golden persona 재사용
matching_request	request_001_a	MAPPED	matching_requests(snapshot)	-
matching_request	request_002_a	MAPPED	matching_requests(snapshot)	-
matching_request	request_003_a	MAPPED	matching_requests(snapshot)	-
matching_request	request_004_a	MAPPED	matching_requests(snapshot)	-
matching_request	request_005_a	MAPPED	matching_requests(snapshot)	-
matching_request	request_006_a	MAPPED	matching_requests(snapshot)	-
matching_request	request_007_a	MAPPED	matching_requests(snapshot)	-
matching_request	request_007_b	MAPPED	matching_requests(snapshot)	-
matching_request	request_007_c	MAPPED	matching_requests(snapshot)	-
matching_request	request_007_d	MAPPED	matching_requests(snapshot)	-
matching_request	request_008_a	MAPPED	matching_requests(snapshot)	-
matching_request	request_008_b	MAPPED	matching_requests(snapshot)	-
matching_request	request_008_c	MAPPED	matching_requests(snapshot)	-
matching_request	request_008_d	MAPPED	matching_requests(snapshot)	-
matching_request	request_009_a	MAPPED	matching_requests(snapshot)	-
matching_request	request_009_b	MAPPED	matching_requests(snapshot)	-
matching_request_participant	request_001_a_participant_1	MAPPED	matching_request_participants(snapshot)	-
matching_request_participant	request_001_a_participant_2	MAPPED	matching_request_participants(snapshot)	-
matching_request_participant	request_002_a_participant_1	MAPPED	matching_request_participants(snapshot)	-
matching_request_participant	request_002_a_participant_2	MAPPED	matching_request_participants(snapshot)	-
matching_request_participant	request_002_a_participant_3	MAPPED	matching_request_participants(snapshot)	-
matching_request_participant	request_002_a_participant_4	MAPPED	matching_request_participants(snapshot)	-
matching_request_participant	request_003_a_participant_1	MAPPED	matching_request_participants(snapshot)	-
matching_request_participant	request_004_a_participant_1	MAPPED	matching_request_participants(snapshot)	-
matching_request_participant	request_005_a_participant_1	MAPPED	matching_request_participants(snapshot)	-
matching_request_participant	request_006_a_participant_1	MAPPED	matching_request_participants(snapshot)	-
matching_request_participant	request_007_a_participant_1	MAPPED	matching_request_participants(snapshot)	-
matching_request_participant	request_007_a_participant_2	MAPPED	matching_request_participants(snapshot)	-
matching_request_participant	request_007_a_participant_3	MAPPED	matching_request_participants(snapshot)	-
matching_request_participant	request_007_a_participant_4	MAPPED	matching_request_participants(snapshot)	-
matching_request_participant	request_007_a_participant_5	MAPPED	matching_request_participants(snapshot)	-
matching_request_participant	request_007_b_participant_1	MAPPED	matching_request_participants(snapshot)	-
matching_request_participant	request_007_b_participant_2	MAPPED	matching_request_participants(snapshot)	-
matching_request_participant	request_007_b_participant_3	MAPPED	matching_request_participants(snapshot)	-
matching_request_participant	request_007_b_participant_4	MAPPED	matching_request_participants(snapshot)	-
matching_request_participant	request_007_b_participant_5	MAPPED	matching_request_participants(snapshot)	-
matching_request_participant	request_007_c_participant_1	MAPPED	matching_request_participants(snapshot)	-
matching_request_participant	request_007_c_participant_2	MAPPED	matching_request_participants(snapshot)	-
matching_request_participant	request_007_c_participant_3	MAPPED	matching_request_participants(snapshot)	-
matching_request_participant	request_007_d_participant_1	MAPPED	matching_request_participants(snapshot)	-
matching_request_participant	request_007_d_participant_2	MAPPED	matching_request_participants(snapshot)	-
matching_request_participant	request_007_d_participant_3	MAPPED	matching_request_participants(snapshot)	-
matching_request_participant	request_008_a_participant_1	MAPPED	matching_request_participants(snapshot)	-
matching_request_participant	request_008_a_participant_2	MAPPED	matching_request_participants(snapshot)	-
matching_request_participant	request_008_a_participant_3	MAPPED	matching_request_participants(snapshot)	-
matching_request_participant	request_008_a_participant_4	MAPPED	matching_request_participants(snapshot)	-
matching_request_participant	request_008_a_participant_5	MAPPED	matching_request_participants(snapshot)	-
matching_request_participant	request_008_b_participant_1	MAPPED	matching_request_participants(snapshot)	-
matching_request_participant	request_008_b_participant_2	MAPPED	matching_request_participants(snapshot)	-
matching_request_participant	request_008_b_participant_3	MAPPED	matching_request_participants(snapshot)	-
matching_request_participant	request_008_b_participant_4	MAPPED	matching_request_participants(snapshot)	-
matching_request_participant	request_008_b_participant_5	MAPPED	matching_request_participants(snapshot)	-
matching_request_participant	request_008_c_participant_1	MAPPED	matching_request_participants(snapshot)	-
matching_request_participant	request_008_c_participant_2	MAPPED	matching_request_participants(snapshot)	-
matching_request_participant	request_008_c_participant_3	MAPPED	matching_request_participants(snapshot)	-
matching_request_participant	request_008_c_participant_4	MAPPED	matching_request_participants(snapshot)	-
matching_request_participant	request_008_d_participant_1	MAPPED	matching_request_participants(snapshot)	-
matching_request_participant	request_008_d_participant_2	MAPPED	matching_request_participants(snapshot)	-
matching_request_participant	request_008_d_participant_3	MAPPED	matching_request_participants(snapshot)	-
matching_request_participant	request_008_d_participant_4	MAPPED	matching_request_participants(snapshot)	-
matching_request_participant	request_009_a_participant_1	MAPPED	matching_request_participants(snapshot)	-
matching_request_participant	request_009_a_participant_2	MAPPED	matching_request_participants(snapshot)	-
matching_request_participant	request_009_b_participant_1	MAPPED	matching_request_participants(snapshot)	-
matching_request_participant	request_009_b_participant_2	MAPPED	matching_request_participants(snapshot)	-
matching_request_participant	request_009_b_participant_3	MAPPED	matching_request_participants(snapshot)	-
instructor_profile	instructor_profile_001	MAPPED_REVIEW_REQUIRED	instructor_profiles	구조화 승인값과 PM 서사 모순
instructor_profile	instructor_profile_002	MAPPED	instructor_profiles	개인정보 익명화
instructor_profile	instructor_profile_003	MAPPED	instructor_profiles	개인정보 익명화
instructor_profile	instructor_profile_004	MAPPED	instructor_profiles	기존 golden profile 재사용
instructor_matching_setting	instructor_matching_setting_001	MAPPED_REVIEW_REQUIRED	instructor_matching_settings	가능 시간 240분 보정
instructor_matching_setting	instructor_matching_setting_002	MAPPED	instructor_matching_settings	가능 시간 240분 보정
instructor_matching_setting	instructor_matching_setting_003	MAPPED	instructor_matching_settings	가능 시간 120분 보정
instructor_matching_setting	instructor_matching_setting_004	MAPPED	instructor_matching_settings	가능 시간 120분 보정
instructor_price_policy	instructor_price_policy_001	MAPPED_REVIEW_REQUIRED	instructor_price_policies	구조화 가격값만 재현
instructor_price_policy	instructor_price_policy_002	MAPPED	instructor_price_policies	-
instructor_price_policy	instructor_price_policy_003	MAPPED	instructor_price_policies	-
instructor_price_policy	instructor_price_policy_004	MAPPED	instructor_price_policies	-
instructor_certification	instructor_certification_001	MAPPED_REVIEW_REQUIRED	instructor_profile_certificates.KSIA_SKI_LEVEL_1	구조화 자격값과 PM 서사 모순
instructor_certification	instructor_certification_002	MAPPED	instructor_profile_certificates.KSIA_SKI_LEVEL_1	상세 발급정보는 현재 스키마 미지원
instructor_certification	instructor_certification_003	EXCLUDED_UNSUPPORTED	-	TEAM_INTERNAL_BASIC enum 미지원
instructor_certification	instructor_certification_004	MAPPED	instructor_profile_certificates.KSIA_SKI_LEVEL_2	상세 발급정보는 현재 스키마 미지원
instructor_certification	instructor_certification_005	EXCLUDED_UNSUPPORTED	-	ATHLETE_CAREER enum 미지원
instructor_certification	instructor_certification_006	MAPPED	instructor_profile_certificates.KSIA_SKI_LEVEL_1	상세 발급정보는 현재 스키마 미지원
